67,CAPABILITIES-GENERATE::inherit-Manifested-instrument-mission-architecture-TO-Measurement
68,CAPABILITIES-GENERATE::inherit-Manifested-instrument-num-of-planes#-TO-Measurement
69,CAPABILITIES-GENERATE::inherit-Manifested-instrument-num-of-sats-per-plane#-TO-Measurement
70,CAPABILITIES-GENERATE::inherit-Manifested-instrument-orbit-RAAN-TO-Measurement
71,CAPABILITIES-GENERATE::inherit-Manifested-instrument-orbit-altitude#-TO-Measurement
72,CAPABILITIES-GENERATE::inherit-Manifested-instrument-orbit-anomaly#-TO-Measurement
73,CAPABILITIES-GENERATE::inherit-Manifested-instrument-orbit-inclination-TO-Measurement
74,CAPABILITIES-GENERATE::inherit-Manifested-instrument-orbit-string-TO-Measurement
75,CAPABILITIES-GENERATE::inherit-Manifested-instrument-orbit-type-TO-Measurement
76,CAPABILITIES-GENERATE::inherit-Manifested-instrument-power-duty-cycle#-TO-Measurement
77,CAPABILITIES-GENERATE::inherit-Manifested-instrument-rms-system-instrument#-TO-Measurement
78,CAPABILITIES-GENERATE::inherit-Manifested-instrument-sensitivity#-TO-Measurement
79,CAPABILITIES-GENERATE::inherit-Manifested-instrument-sensitivity-NEDT#-TO-Measurement
80,CAPABILITIES-GENERATE::inherit-Manifested-instrument-sensitivity-in-cirrus-TO-Measurement
81,CAPABILITIES-GENERATE::inherit-Manifested-instrument-sensitivity-in-convective-clouds-TO-Measurement
82,CAPABILITIES-GENERATE::inherit-Manifested-instrument-sensitivity-in-low-troposphere-PBL-TO-Measurement
83,CAPABILITIES-GENERATE::inherit-Manifested-instrument-sensitivity-in-upper-stratosphere-TO-Measurement
84,CAPABILITIES-GENERATE::inherit-Manifested-instrument-sensitivity-in-upper-troposphere-and-stratosphere-TO-Measurement
85,CAPABILITIES-GENERATE::inherit-Manifested-instrument-sensitivity-over-lands-TO-Measurement
86,CAPABILITIES-GENERATE::inherit-Manifested-instrument-sensitivity-over-oceans-TO-Measurement
87,CAPABILITIES-GENERATE::inherit-Manifested-instrument-soil-penetration#-TO-Measurement
88,CAPABILITIES-GENERATE::inherit-Manifested-instrument-spectral-bands-TO-Measurement
89,CAPABILITIES-REMOVE-OVERLAPS::cross-registered-remove-overlaps
90,CAPABILITIES::basic-diurnal-cycle
91,CAPABILITIES::chemistry-instruments-prefer-PM-orbits-effect-on-science-strato
92,CAPABILITIES::chemistry-instruments-prefer-PM-orbits-effect-on-science-tropo
93,CAPABILITIES::compute-image-distortion-in-side-looking-instruments
94,CAPABILITIES::compute-soil-penetration
95,CAPABILITIES::cryospheric-instruments-want-polar-orbits
96,CAPABILITIES::global-or-regional-coverage
97,CAPABILITIES::hires-passive-optical-imagers-prefer-AM-orbits-effect-on-science
98,CAPABILITIES::image-distortion-at-low-altitudes-in-side-looking-instruments
99,CAPABILITIES::passive-optical-instruments-cannot-measure-in-dark
100,CAPABILITIES::resource-limitations-datarate
101,CAPABILITIES::resource-limitations-power
102,CAPABILITIES::two-lidars-at-same-frequency-cannot-work
103,CLEAN1::clean
104,CLEAN2::clean
105,DOWN-SELECTION::delete-archs-not-enough-pareto-ranking
106,DOWN-SELECTION::delete-archs-too-expensive
107,DOWN-SELECTION::delete-archs-too-little-benefit
108,DOWN-SELECTION::delete-archs-too-little-utility
109,FUZZY-AGGREGATION::compute-objective-scores
110,FUZZY-AGGREGATION::compute-stakeholder-scores
111,FUZZY-AGGREGATION::compute-value
112,FUZZY-AGGREGATION::get-objective-scores
113,FUZZY-AGGREGATION::get-stakeholder-scores
114,FUZZY-AGGREGATION::get-subobjective-scores
115,FUZZY-COST-ESTIMATION::estimate-bus-TFU-recurring-cost
116,FUZZY-COST-ESTIMATION::estimate-bus-non-recurring-cost
117,FUZZY-COST-ESTIMATION::estimate-instrument-cost
118,FUZZY-COST-ESTIMATION::estimate-integration-and-testing-cost
119,FUZZY-COST-ESTIMATION::estimate-lifecycle-mission-cost
120,FUZZY-COST-ESTIMATION::estimate-operations-cost-std
121,FUZZY-COST-ESTIMATION::estimate-operations-cost-with-ground-station-penalty
122,FUZZY-COST-ESTIMATION::estimate-payload-cost2
123,FUZZY-COST-ESTIMATION::estimate-program-overhead-cost
124,FUZZY-COST-ESTIMATION::estimate-spacecraft-cost-dedicated
125,FUZZY-COST-ESTIMATION::estimate-total-mission-cost-non-recurring
126,FUZZY-COST-ESTIMATION::estimate-total-mission-cost-recurring
127,FUZZY-COST-ESTIMATION::estimate-total-mission-cost-with-overruns
128,FUZZY-COST-ESTIMATION::estimate-total-mission-cost-with-overruns-when-partnership
129,FUZZY-REQUIREMENTS::ATM1-1-attrib
130,FUZZY-REQUIREMENTS::ATM10-1-attrib
131,FUZZY-REQUIREMENTS::ATM10-2-attrib
132,FUZZY-REQUIREMENTS::ATM10-3-attrib
133,FUZZY-REQUIREMENTS::ATM10-4-attrib
134,FUZZY-REQUIREMENTS::ATM10-5-attrib
135,FUZZY-REQUIREMENTS::ATM10-6-attrib
136,FUZZY-REQUIREMENTS::ATM10-7-attrib
137,FUZZY-REQUIREMENTS::ATM11-1-attrib
138,FUZZY-REQUIREMENTS::ATM11-2-attrib
139,FUZZY-REQUIREMENTS::ATM11-3-attrib
140,FUZZY-REQUIREMENTS::ATM12-1-attrib
141,FUZZY-REQUIREMENTS::ATM12-2-attrib
142,FUZZY-REQUIREMENTS::ATM12-3-attrib
143,FUZZY-REQUIREMENTS::ATM12-4-attrib
144,FUZZY-REQUIREMENTS::ATM12-5-attrib
145,FUZZY-REQUIREMENTS::ATM13-1-attrib
146,FUZZY-REQUIREMENTS::ATM13-2-attrib
